Region,State,Date,Confirmed
North,AC,2020-02-25,0
North,AC,2020-02-26,0
North,AC,2020-02-27,0
North,AC,2020-02-28,0
North,AC,2020-02-29,0
North,AC,2020-03-01,0
North,AC,2020-03-02,0
North,AC,2020-03-03,0
North,AC,2020-03-04,0
North,AC,2020-03-05,0
North,AC,2020-03-06,0
North,AC,2020-03-07,0
North,AC,2020-03-08,0
North,AC,2020-03-09,0
North,AC,2020-03-10,0
North,AC,2020-03-11,0
North,AC,2020-03-12,0
North,AC,2020-03-13,0
North,AC,2020-03-14,0
North,AC,2020-03-15,0
North,AC,2020-03-16,0
North,AC,2020-03-17,3
North,AC,2020-03-18,3
North,AC,2020-03-19,4
North,AC,2020-03-20,7
North,AC,2020-03-21,11
North,AC,2020-03-22,11
North,AC,2020-03-23,17
North,AC,2020-03-24,21
North,AC,2020-03-25,23
Northeast,AL,2020-02-25,0
Northeast,AL,2020-02-26,0
Northeast,AL,2020-02-27,0
Northeast,AL,2020-02-28,0
Northeast,AL,2020-02-29,0
Northeast,AL,2020-03-01,0
Northeast,AL,2020-03-02,0
Northeast,AL,2020-03-03,0
Northeast,AL,2020-03-04,0
Northeast,AL,2020-03-05,0
Northeast,AL,2020-03-06,0
Northeast,AL,2020-03-07,0
Northeast,AL,2020-03-08,0
Northeast,AL,2020-03-09,0
Northeast,AL,2020-03-10,0
Northeast,AL,2020-03-11,0
Northeast,AL,2020-03-12,0
Northeast,AL,2020-03-13,0
Northeast,AL,2020-03-14,0
Northeast,AL,2020-03-15,0
Northeast,AL,2020-03-16,1
Northeast,AL,2020-03-17,1
Northeast,AL,2020-03-18,1
Northeast,AL,2020-03-19,4
Northeast,AL,2020-03-20,6
Northeast,AL,2020-03-21,7
Northeast,AL,2020-03-22,7
Northeast,AL,2020-03-23,8
Northeast,AL,2020-03-24,10
Northeast,AL,2020-03-25,11
North,AM,2020-02-25,0
North,AM,2020-02-26,0
North,AM,2020-02-27,0
North,AM,2020-02-28,0
North,AM,2020-02-29,0
North,AM,2020-03-01,0
North,AM,2020-03-02,0
North,AM,2020-03-03,0
North,AM,2020-03-04,0
North,AM,2020-03-05,0
North,AM,2020-03-06,0
North,AM,2020-03-07,0
North,AM,2020-03-08,0
North,AM,2020-03-09,0
North,AM,2020-03-10,0
North,AM,2020-03-11,0
North,AM,2020-03-12,0
North,AM,2020-03-13,1
North,AM,2020-03-14,1
North,AM,2020-03-15,0
North,AM,2020-03-16,1
North,AM,2020-03-17,2
North,AM,2020-03-18,2
North,AM,2020-03-19,3
North,AM,2020-03-20,7
North,AM,2020-03-21,11
North,AM,2020-03-22,26
North,AM,2020-03-23,32
North,AM,2020-03-24,47
North,AM,2020-03-25,54
North,AP,2020-02-25,0
North,AP,2020-02-26,0
North,AP,2020-02-27,0
North,AP,2020-02-28,0
North,AP,2020-02-29,0
North,AP,2020-03-01,0
North,AP,2020-03-02,0
North,AP,2020-03-03,0
North,AP,2020-03-04,0
North,AP,2020-03-05,0
North,AP,2020-03-06,0
North,AP,2020-03-07,0
North,AP,2020-03-08,0
North,AP,2020-03-09,0
North,AP,2020-03-10,0
North,AP,2020-03-11,0
North,AP,2020-03-12,0
North,AP,2020-03-13,0
North,AP,2020-03-14,0
North,AP,2020-03-15,0
North,AP,2020-03-16,0
North,AP,2020-03-17,0
North,AP,2020-03-18,0
North,AP,2020-03-19,0
North,AP,2020-03-20,1
North,AP,2020-03-21,1
North,AP,2020-03-22,1
North,AP,2020-03-23,1
North,AP,2020-03-24,1
North,AP,2020-03-25,2
Northeast,BA,2020-02-25,0
Northeast,BA,2020-02-26,0
Northeast,BA,2020-02-27,0
Northeast,BA,2020-02-28,0
Northeast,BA,2020-02-29,0
Northeast,BA,2020-03-01,0
Northeast,BA,2020-03-02,0
Northeast,BA,2020-03-03,0
Northeast,BA,2020-03-04,0
Northeast,BA,2020-03-05,0
Northeast,BA,2020-03-06,1
Northeast,BA,2020-03-07,2
Northeast,BA,2020-03-08,2
Northeast,BA,2020-03-09,2
Northeast,BA,2020-03-10,2
Northeast,BA,2020-03-11,3
